,,,,,,,Playing Time,,,,Performance,,,,,,Per 90 Minutes,,,,,Expected,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
28,Stuart Armstrong,sco SCO,MF,Southampton,28-282,1992,14,13,"1,124",12.5,2,2,0,0,0,0,0.16,0.16,0.32,0.16,0.32,1,1,1,0.08,0.08,0.16,0.08,0.16,Matches
29,Kepa Arrizabalaga,es ESP,GK,Chelsea,26-095,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31-202,1989,15,15,"1,346",15,3,1,1,1,2,0,0.2,0.07,0.27,0.13,0.2,4.6,3.8,1.5,0.3,0.1,0.4,0.25,0.35,Matches
31,Serge Aurier,ci CIV,DF,Tottenham,28-013,1992,8,8,693,7.7,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.7,0.7,0.4,0.09,0.05,0.14,0.09,0.14,Matches
32,Charlie Austin,eng ENG,FW,West Brom,31-185,1989,5,0,138,1.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.13,0,0.13,0.13,0.13,Matches
33,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,29-117,1991,13,8,757,8.4,1,0,0,0,0,0,0.12,0,0.12,0.12,0.12,1.2,1.2,0.1,0.15,0.01,0.15,0.15,0.15,Matches
34,Luke Ayling,eng ENG,DF,Leeds United,29-134,1991,17,17,"1,509",16.8,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,1.5,0.04,0.09,0.13,0.04,0.13,Matches
35,César Azpilicueta,es ESP,DF,Chelsea,31-131,1989,8,6,591,6.6,0,1,0,0,2,0,0,0.15,0.15,0,0.15,0.2,0.2,0.2,0.04,0.03,0.07,0.04,0.07,Matches
36,Eric Bailly,ci CIV,DF,Manchester Utd,26-269,1994,5,4,368,4.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
37,Fabián Balbuena,py PAR,DF,West Ham,29-136,1991,12,12,"1,080",12,1,0,0,0,1,0,0.08,0,0.08,0.08,0.08,0.6,0.6,0,0.05,0,0.05,0.05,0.05,Matches
38,George Baldock,eng ENG,DF,Sheffield Utd,27-303,1993,16,16,"1,440",16,0,1,0,0,2,0,0,0.06,0.06,0,0.06,1,1,1.2,0.06,0.08,0.14,0.06,0.14,Matches
39,Gareth Bale,wal WAL,FW,Tottenham,31-174,1989,4,1,162,1.8,1,0,0,0,0,0,0.56,0,0.56,0.56,0.56,0.6,0.6,0.2,0.36,0.12,0.48,0.36,0.48,Matches
40,Patrick Bamford,eng ENG,FW,Leeds United,27-123,1993,17,17,"1,455",16.2,10,2,1,1,1,0,0.62,0.12,0.74,0.56,0.68,11.1,10.3,1.1,0.69,0.07,0.75,0.64,0.71,Matches
